Channel,Red,Green,Blue
g,6,148,90
g,9,146,90
g,13,146,92
g,14,141,89
g,20,134,87
g,46,135,99
g,101,162,139
g,24,100,74
g,24,100,74
g,4,108,75
g,5,109,76
g,1,112,81
g,1,112,81
g,3,117,87
g,12,125,105
g,65,178,160
g,76,189,171
g,35,141,123
g,4,110,94
g,47,154,147
g,63,170,163
g,74,157,160
g,66,98,91
g,46,107,88
g,41,102,83
g,23,111,83
g,24,112,84
g,14,117,84
g,8,111,78
g,7,118,87
g,8,119,88
g,7,121,93
g,7,121,93
g,8,121,96
g,15,128,103
g,20,125,103
g,39,144,122
g,60,141,129
g,80,161,149
g,94,155,156
g,83,144,145
g,87,121,127
g,78,112,118
g,113,165,136
g,79,159,121
g,68,169,123
g,50,161,111
g,42,158,106
g,32,155,101
g,26,155,99
g,22,157,100
g,19,158,100
g,17,159,100
g,15,158,98
g,12,155,95
g,11,154,95
g,10,153,96
g,7,150,93
g,5,148,91
g,15,160,104
g,36,174,120
g,50,179,128
g,67,184,138
g,81,189,146
g,85,186,145
g,82,181,141
g,74,173,133
g,89,188,148
g,92,191,151
g,90,189,148
g,86,185,145
g,77,186,141
g,69,186,138
g,51,177,125
g,36,170,115
g,20,161,104
g,10,159,98
g,7,156,95
g,6,155,93
g,6,155,93
g,7,155,93
g,7,154,93
g,5,154,92
g,6,155,93
g,7,155,94
g,6,152,92
g,7,148,91
g,9,145,90
g,11,145,90
g,12,142,88
g,10,136,83
g,20,124,81
g,49,124,94
g,15,100,73
g,13,98,71
g,3,112,79
g,1,113,79
g,4,118,86
g,31,144,124
g,68,181,161
g,72,181,162
g,52,161,142
g,19,128,113
g,44,153,138
g,59,166,163
g,69,176,173
g,81,168,170
g,45,94,81
g,51,100,87
g,29,112,86
g,27,110,84
g,15,112,81
g,13,110,79
g,3,115,81
g,1,113,79
g,2,117,85
g,10,123,98
g,11,124,99
g,29,123,109
g,66,160,146
g,114,183,186
g,124,193,196
g,100,149,162
g,71,120,133
g,99,116,117
g,137,167,147
g,99,159,129
g,68,156,115
g,49,153,106
g,39,154,104
g,32,154,101
g,27,151,97
g,20,149,94
g,15,150,93
g,8,153,93
g,5,153,91
g,4,150,89
g,4,150,89
g,4,150,90
g,4,150,91
g,4,150,92
g,5,150,92
g,18,162,106
g,32,171,117
g,47,178,127
g,61,182,135
g,74,188,143
g,78,186,143
g,80,184,142
g,66,168,127
g,82,184,143
g,85,187,146
g,87,189,148
g,81,183,142
g,75,186,140
g,62,183,133
g,44,172,120
g,34,170,115
g,14,158,99
g,8,160,97
g,6,157,94
g,6,155,93
g,6,155,92
g,6,154,91
g,6,153,92
g,5,153,92
g,6,154,92
g,7,153,93
g,7,152,92
g,8,149,91
g,9,145,90
g,9,143,87
g,9,142,86
g,7,141,84
g,19,135,86
g,34,126,87
g,91,151,126
g,40,87,75
g,10,98,70
g,13,101,73
g,2,111,78
g,2,111,78
g,1,113,79
g,24,137,114
g,60,173,157
g,78,191,175
g,83,193,185
g,79,189,181
g,75,182,175
g,80,187,180
g,83,170,172
g,11,98,100
g,30,94,76
g,37,101,83
g,14,109,81
g,13,108,80
g,4,111,79
g,5,112,80
g,1,109,81
g,6,107,88
g,26,127,108
g,91,167,168
g,121,197,198
g,123,181,197
g,86,144,160
g,86,119,123
g,116,167,141
g,83,160,124
g,59,159,113
g,45,156,108
g,33,153,102
g,26,152,98
g,23,148,94
g,16,145,90
g,9,146,89
g,2,150,89
g,1,151,89
g,2,151,89
g,2,151,90
g,7,154,95
g,6,155,96
g,7,154,96
g,13,155,99
g,25,163,108
g,44,177,124
g,59,185,135
g,64,184,137
g,60,174,128
g,62,169,126
g,61,166,124
g,68,173,131
g,71,177,134
g,78,183,141
g,76,181,139
g,64,179,132
g,51,175,124
g,39,171,117
g,22,161,105
g,11,159,99
g,3,158,95
g,3,157,94
g,5,156,93
g,5,156,92
g,5,154,91
g,5,153,91
g,3,153,91
g,4,153,92
g,7,153,92
g,8,153,92
g,8,150,91
g,7,145,90
g,8,144,87
g,8,142,85
g,9,141,84
g,16,136,83
g,28,130,85
g,69,143,111
g,33,84,73
g,4,95,66
g,9,100,71
g,1,109,79
g,3,111,81
g,8,120,102
g,61,173,155
g,81,192,184
g,85,196,188
g,88,198,192
g,85,195,189
g,69,156,156
g,12,99,99
g,49,90,83
g,18,98,75
g,22,102,79
g,4,108,77
g,3,107,76
g,1,113,79
g,1,110,75
g,2,101,78
g,33,118,111
g,99,184,177
g,131,197,206
g,121,187,196
g,83,128,128
g,81,126,126
g,133,175,152
g,97,166,134
g,69,162,120
g,51,163,114
g,40,160,108
g,27,153,99
g,21,150,95
g,17,146,91
g,11,143,87
g,6,145,87
g,1,152,90
g,3,153,91
g,9,157,98
g,9,157,98
g,11,156,98
g,11,150,94
g,21,158,103
g,39,174,120
g,48,177,126
g,54,180,130
g,52,174,125
g,52,165,119
g,63,173,129
g,62,173,128
g,58,168,124
g,68,178,134
g,69,179,135
g,52,170,122
g,40,167,115
g,34,168,114
g,12,153,96
g,11,159,100
g,1,157,93
g,3,158,94
g,6,157,94
g,6,157,93
g,5,155,92
g,4,153,91
g,3,153,91
g,4,153,91
g,7,153,92
g,7,151,91
g,8,150,91
g,8,147,90
g,7,145,87
g,7,143,85
g,9,141,83
g,13,138,82
g,22,133,84
g,35,123,85
g,80,143,115
g,30,83,74
g,6,97,70
g,9,100,73
g,1,107,78
g,3,109,80
g,3,111,85
g,33,145,127
g,56,168,150
g,85,193,181
g,58,166,154
g,25,113,108
g,10,98,93
g,40,93,84
g,6,100,75
g,9,103,78
g,1,107,78
g,2,106,71
g,3,99,73
g,4,94,79
g,39,129,114
g,100,174,174
g,124,198,198
g,110,168,159
g,79,137,128
g,126,178,151
g,86,163,128
g,59,161,116
g,39,163,110
g,28,160,104
g,17,151,94
g,14,146,90
g,9,144,87
g,6,143,85
g,4,144,86
g,1,147,86
g,2,152,90
g,3,151,91
g,9,156,97
g,18,160,103
g,26,166,110
g,21,158,103
g,18,154,99
g,20,154,100
g,24,157,103
g,29,162,108
g,27,158,105
g,45,167,117
g,55,173,125
g,53,172,123
g,49,167,120
g,52,170,124
g,46,164,117
g,43,167,117
g,39,168,116
g,25,161,106
g,11,152,95
g,9,156,96
g,9,162,99
g,8,161,98
g,7,158,95
g,7,158,94
g,6,156,92
g,5,154,91
g,4,153,89
g,4,153,89
g,6,152,89
g,7,151,89
g,7,148,88
g,7,146,88
g,6,145,86
g,5,143,84
g,5,140,81
g,8,137,80
g,5,125,72
g,20,121,78
g,63,144,108
g,24,79,71
g,4,91,68
g,11,98,75
g,1,104,73
g,2,111,94
g,28,117,109
g,7,96,88
g,30,93,78
g,30,93,78
g,3,102,75
g,5,104,77
g,3,95,64
g,5,97,66
g,3,97,76
g,37,129,116
g,69,161,148
g,55,126,115
g,56,127,116
g,94,126,117
g,142,169,147
g,112,171,142
g,77,160,123
g,51,158,112
g,33,159,105
g,22,157,100
g,13,147,90
g,10,143,87
g,6,142,85
g,5,143,85
g,4,144,85
g,1,146,86
g,1,149,87
g,3,148,89
g,11,153,96
g,20,159,103
g,28,164,109
g,37,173,117
g,33,168,112
g,27,162,106
g,25,159,104
g,25,160,106
g,18,152,98
g,24,154,101
g,32,162,109
g,31,161,108
g,31,161,109
g,26,155,105
g,31,159,109
g,44,173,121
g,40,171,118
g,35,170,116
g,26,164,108
g,18,160,103
g,11,158,97
g,7,156,94
g,6,155,93
g,6,155,92
g,6,154,91
g,7,154,90
g,6,152,89
g,6,152,89
g,6,152,89
g,6,150,87
g,4,145,85
g,3,144,85
g,3,143,85
g,4,143,84
g,13,147,89
g,15,145,89
g,11,133,80
g,13,119,74
g,41,128,90
g,90,158,128
g,22,79,73
g,3,88,63
g,6,91,66
g,1,98,67
g,1,98,67
g,5,110,88
g,28,116,104
g,8,96,84
g,26,97,77
g,22,93,73
g,1,103,75
g,1,109,83
g,1,112,83
g,6,86,59
g,3,97,72
g,13,111,91
g,24,122,102
g,26,115,98
g,27,116,99
g,81,124,116
g,136,171,147
g,101,166,135
g,69,158,119
g,43,153,106
g,26,154,99
g,16,151,94
g,8,143,86
g,8,141,85
g,6,141,84
g,5,143,85
g,4,144,85
g,1,145,85
g,4,145,87
g,22,160,104
g,31,166,111
g,37,171,116
g,43,177,120
g,43,177,120
g,44,179,122
g,35,169,114
g,32,167,113
g,20,156,101
g,16,154,99
g,17,157,101
g,12,152,96
g,22,162,107
g,7,146,92
g,21,158,105
g,42,175,122
g,34,166,112
g,35,169,114
g,42,177,122
g,36,173,117
g,21,163,104
g,10,154,94
g,5,151,90
g,6,152,90
g,7,152,89
g,8,151,89
g,8,151,89
g,7,152,89
g,6,151,89
g,5,148,86
g,3,145,84
g,2,143,84
g,2,143,84
g,4,143,84
g,12,144,88
g,13,143,88
g,8,132,79
g,9,118,72
g,24,118,77
g,76,151,118
g,25,79,74
g,4,87,61
g,6,89,63
g,1,96,64
g,2,97,65
g,2,88,53
g,1,96,68
g,3,106,80
g,17,103,87
g,7,93,77
g,53,83,75
g,17,95,71
g,14,92,68
g,1,104,73
g,1,108,85
g,1,101,67
g,5,77,47
g,5,97,68
g,10,102,73
g,7,109,83
g,7,109,83
g,21,120,97
g,14,113,90
g,64,117,106
g,71,124,113
g,125,170,143
g,90,162,129
g,60,153,112
g,42,155,106
g,21,149,95
g,8,142,85
g,4,138,82
g,6,141,84
g,6,142,84
g,5,143,85
g,4,144,85
g,1,145,85
g,4,149,89
g,11,152,93
g,18,156,99
g,36,169,115
g,37,169,115
g,38,170,116
g,39,171,115
g,38,172,115
g,38,173,116
g,32,166,111
g,27,161,107
g,25,161,106
g,12,156,98
g,6,153,94
g,10,157,98
g,9,156,99
g,9,156,99
g,16,162,106
g,24,160,104
g,32,162,107
g,42,175,119
g,48,180,124
g,45,176,121
g,39,173,116
g,26,165,107
g,11,154,94
g,9,152,90
g,10,152,90
g,9,150,89
g,10,150,89
g,8,149,88
g,7,150,88
g,5,147,86
g,3,145,84
g,2,144,85
g,2,143,84
g,4,142,84
g,7,138,82
g,6,137,82
g,15,131,81
g,21,122,77
g,67,149,112
g,24,76,74
g,6,86,63
g,6,86,63
g,1,92,61
g,1,92,63
g,2,98,72
g,5,101,75
g,13,97,79
g,9,93,75
g,46,81,69
g,7,90,64
g,9,92,66
g,1,104,71
g,3,98,66
g,10,63,39
g,4,95,64
g,7,98,67
g,3,105,77
g,5,107,79
g,13,112,89
g,7,106,83
g,51,111,99
g,63,123,111
g,109,161,132
g,76,155,119
g,54,151,109
g,36,151,102
g,17,145,90
g,8,141,85
g,4,138,82
g,5,140,83
g,6,142,85
g,5,143,85
g,5,143,85
g,2,145,85
g,1,146,86
g,6,149,90
g,17,156,98
g,27,162,106
g,38,169,115
g,38,168,115
g,38,168,115
g,40,171,116
g,39,172,116
g,38,172,116
g,31,165,111
g,31,165,111
g,32,168,113
g,13,157,99
g,3,151,92
g,5,153,94
g,7,155,97
g,13,160,103
g,10,157,101
g,23,157,102
g,40,169,114
g,48,178,123
g,49,177,122
g,48,175,121
g,48,175,121
g,36,170,113
g,21,161,102
g,14,153,93
g,13,151,91
g,13,151,91
g,12,150,90
g,9,149,88
g,6,148,86
g,5,148,86
g,3,146,85
g,1,144,85
g,1,144,84
g,4,142,84
g,7,137,82
g,6,137,82
g,7,127,75
g,17,125,77
g,57,146,106
g,5,82,63
g,5,82,63
g,1,90,56
g,3,95,68
g,5,97,70
g,18,93,76
g,34,76,62
g,4,92,62
g,7,95,65
g,1,104,71
g,7,55,33
g,1,89,59
g,7,95,65
g,5,108,77
g,7,106,79
g,7,106,79
g,40,105,90
g,54,119,104
g,135,167,142
g,99,159,128
g,69,153,116
g,50,150,107
g,30,145,96
g,12,140,85
g,8,140,84
g,5,139,82
g,3,138,81
g,3,140,82
g,5,142,84
g,6,143,85
g,4,144,85
g,4,145,86
g,11,150,91
g,25,160,103
g,37,168,113
g,39,168,115
g,40,167,115
g,41,168,116
g,41,171,116
g,40,172,116
g,38,172,116
g,27,161,106
g,29,163,109
g,27,163,108
g,9,153,95
g,1,147,89
g,5,151,92
g,15,161,104
g,9,154,98
g,7,153,96
g,28,161,106
g,42,170,115
g,46,175,120
g,48,174,120
g,53,175,122
g,56,178,126
g,51,179,124
g,37,171,114
g,21,155,97
g,11,145,86
g,13,147,89
g,14,150,91
g,11,150,89
g,6,148,86
g,3,147,85
g,2,147,85
g,1,145,84
g,1,144,84
g,4,142,84
g,6,138,81
g,6,137,81
g,15,126,77
g,48,142,100
g,95,157,132
g,51,117,97
g,50,128,106
g,51,129,107
g,46,133,110
g,47,134,111
g,49,136,115
g,49,136,115
g,51,135,113
g,52,136,114
g,57,132,113
g,10,82,64
g,7,79,61
g,1,90,54
g,5,88,62
g,7,90,64
g,24,89,74
g,31,78,62
g,2,93,64
g,5,96,67
g,2,102,70
g,1,98,67
g,2,99,68
g,6,59,35
g,4,97,60
g,5,98,61
g,2,99,66
g,4,101,68
g,6,101,73
g,4,99,71
g,38,103,88
g,54,119,104
g,129,171,143
g,95,164,130
g,66,156,117
g,46,149,105
g,29,144,95
g,12,139,85
g,7,139,83
g,4,138,81
g,2,138,81
g,2,138,81
g,2,139,81
g,5,142,84
g,13,145,89
g,13,143,88
g,25,152,98
g,39,165,111
g,40,165,112
g,39,163,112
g,42,166,115
g,44,167,116
g,47,169,117
g,45,171,117
g,33,163,108
g,28,163,106
g,22,161,104
g,16,158,99
g,10,155,95
g,5,151,91
g,5,151,91
g,11,157,97
g,9,155,95
g,6,152,92
g,27,160,104
g,42,169,115
g,45,173,118
g,49,172,119
g,54,175,122
g,58,179,125
g,62,182,128
g,65,185,131
g,48,171,116
g,23,149,93
g,13,143,86
g,14,148,89
g,10,147,87
g,7,147,86
g,4,147,85
g,2,144,83
g,2,143,82
g,4,138,80
g,2,130,74
g,10,131,79
g,19,128,80
g,47,139,99
g,85,150,125
g,47,123,99
g,47,123,99
g,42,125,99
g,41,124,98
g,26,120,95
g,25,119,94
g,21,124,100
g,22,125,101
g,22,125,101
g,24,127,103
g,26,128,104
g,32,134,110
g,41,137,113
g,44,140,116
g,55,139,117
g,56,140,118
g,10,75,62
g,11,76,63
g,3,82,52
g,14,90,64
g,12,88,62
g,25,83,70
g,33,80,64
g,4,92,62
g,4,92,62
g,2,99,66
g,1,98,65
g,10,95,68
g,13,92,60
g,10,106,68
g,5,101,63
g,4,102,63
g,4,102,63
g,2,93,62
g,37,101,83
g,54,118,100
g,124,170,142
g,90,162,127
g,62,154,113
g,45,147,103
g,27,141,92
g,10,136,82
g,6,136,81
g,3,137,80
g,1,138,81
g,1,138,81
g,2,139,81
g,2,138,81
g,8,137,82
g,21,146,93
g,39,160,108
g,45,166,114
g,51,173,121
g,50,171,121
g,47,168,118
g,46,166,116
g,47,167,115
g,41,165,111
g,42,171,116
g,40,175,118
g,24,164,106
g,8,152,92
g,8,154,93
g,7,153,92
g,4,151,90
g,9,156,95
g,8,154,93
g,8,154,93
g,27,161,105
g,41,169,115
g,46,173,118
g,50,173,120
g,55,174,122
g,60,178,125
g,62,177,124
g,66,179,127
g,66,182,130
g,52,173,118
g,21,147,91
g,12,143,85
g,8,144,84
g,10,149,89
g,7,150,88
g,3,143,82
g,3,143,82
g,4,138,79
g,4,130,75
g,9,131,79
g,19,129,80
g,47,139,99
g,83,151,125
g,33,85,83
g,43,115,99
g,46,118,102
g,34,126,99
g,32,124,97
g,22,121,94
g,18,117,90
g,11,119,91
g,11,119,91
g,10,124,101
g,9,123,100
g,9,126,102
g,9,126,102
g,8,125,101
g,7,124,100
g,11,125,100
g,18,132,107
g,31,134,110
